transaction_id,date,customer_id,customer_name,customer_country,product_id,product_name,product_brand,product_price,quantity
1,2022-09-02,19.0,Kevin Cole,Benin,2.0,earphones,"Johnson, Lawson and Rodriguez",83.0,7
2,2022-09-07,5.0,Rachel Brandt,Kyrgyz Republic,1.0,laptop,"Stanley, Webster and Thompson",39.0,7
3,2022-09-05,2.0,Victor Herrera,Gambia,1.0,laptop,"Stanley, Webster and Thompson",39.0,6
4,2022-09-01,24.0,Alexandria Smith,Turkey,1.0,laptop,"Stanley, Webster and Thompson",39.0,5
5,2022-09-10,23.0,Shelby Martinez,Jamaica,2.0,earphones,"Johnson, Lawson and Rodriguez",83.0,10
6,2022-09-06,18.0,William Mcdonald,Mauritius,1.0,laptop,"Stanley, Webster and Thompson",39.0,4
7,2022-09-03,16.0,Kyle Hunter,Iceland,2.0,earphones,"Johnson, Lawson and Rodriguez",83.0,5
8,2022-09-01,20.0,Richard Johnson,Lao People's Democratic Republic,1.0,laptop,"Stanley, Webster and Thompson",39.0,6
9,2022-09-11,7.0,Tracy Crawford,Venezuela,1.0,laptop,"Stanley, Webster and Thompson",39.0,10
10,2022-09-06,12.0,Michael Burke,Angola,1.0,laptop,"Stanley, Webster and Thompson",39.0,5
11,2022-09-02,2.0,Victor Herrera,Gambia,2.0,earphones,"Johnson, Lawson and Rodriguez",83.0,1
12,2022-09-05,27.0,Rebecca Ibarra,Syrian Arab Republic,2.0,earphones,"Johnson, Lawson and Rodriguez",83.0,7
13,2022-09-01,7.0,Tracy Crawford,Venezuela,2.0,earphones,"Johnson, Lawson and Rodriguez",83.0,7
14,2022-09-03,14.0,Ralph Williams,United States Minor Outlying Islands,2.0,earphones,"Johnson, Lawson and Rodriguez",83.0,8
15,2022-09-06,6.0,Stephen Conway,Saint Kitts and Nevis,3.0,keyboard,Beard Group,97.0,1
16,2022-09-14,27.0,Rebecca Ibarra,Syrian Arab Republic,3.0,keyboard,Beard Group,97.0,4
17,2022-09-11,15.0,Danielle White MD,Bouvet Island (Bouvetoya),3.0,keyboard,Beard Group,97.0,4
18,2022-09-03,27.0,Rebecca Ibarra,Syrian Arab Republic,2.0,earphones,"Johnson, Lawson and Rodriguez",83.0,10
19,2022-09-04,1.0,Eric Hernandez,Cape Verde,1.0,laptop,"Stanley, Webster and Thompson",39.0,3
20,2022-09-01,21.0,Tiffany Hanna,Czech Republic,1.0,laptop,"Stanley, Webster and Thompson",39.0,4
21,2022-09-12,13.0,Nicholas Gray,Israel,1.0,laptop,"Stanley, Webster and Thompson",39.0,5
22,2022-09-09,5.0,Rachel Brandt,Kyrgyz Republic,3.0,keyboard,Beard Group,97.0,3
23,2022-09-08,15.0,Danielle White MD,Bouvet Island (Bouvetoya),1.0,laptop,"Stanley, Webster and Thompson",39.0,10
24,2022-09-07,19.0,Kevin Cole,Benin,2.0,earphones,"Johnson, Lawson and Rodriguez",83.0,6
25,2022-09-06,20.0,Richard Johnson,Lao People's Democratic Republic,2.0,earphones,"Johnson, Lawson and Rodriguez",83.0,9
26,2022-09-11,18.0,William Mcdonald,Mauritius,2.0,earphones,"Johnson, Lawson and Rodriguez",83.0,5
27,2022-09-04,28.0,Jacob Blair,Cuba,1.0,laptop,"Stanley, Webster and Thompson",39.0,6
28,2022-09-02,3.0,Lisa Murray,Rwanda,2.0,earphones,"Johnson, Lawson and Rodriguez",83.0,2
29,2022-09-03,10.0,Megan Ball,New Zealand,3.0,keyboard,Beard Group,97.0,9
30,2022-09-14,6.0,Stephen Conway,Saint Kitts and Nevis,3.0,keyboard,Beard Group,97.0,5
31,2022-09-09,28.0,Jacob Blair,Cuba,1.0,laptop,"Stanley, Webster and Thompson",39.0,10
32,2022-09-10,4.0,Patricia Smith,Congo,2.0,earphones,"Johnson, Lawson and Rodriguez",83.0,10
33,2022-09-08,2.0,Victor Herrera,Gambia,1.0,laptop,"Stanley, Webster and Thompson",39.0,4
34,2022-09-05,13.0,Nicholas Gray,Israel,3.0,keyboard,Beard Group,97.0,9
35,2022-09-01,10.0,Megan Ball,New Zealand,1.0,laptop,"Stanley, Webster and Thompson",39.0,5
36,2022-09-01,10.0,Megan Ball,New Zealand,3.0,keyboard,Beard Group,97.0,6
37,2022-09-10,12.0,Michael Burke,Angola,1.0,laptop,"Stanley, Webster and Thompson",39.0,3
38,2022-09-01,15.0,Danielle White MD,Bouvet Island (Bouvetoya),1.0,laptop,"Stanley, Webster and Thompson",39.0,2
39,2022-09-08,27.0,Rebecca Ibarra,Syrian Arab Republic,2.0,earphones,"Johnson, Lawson and Rodriguez",83.0,5
40,2022-09-11,4.0,Patricia Smith,Congo,2.0,earphones,"Johnson, Lawson and Rodriguez",83.0,2
41,2022-09-03,24.0,Alexandria Smith,Turkey,3.0,keyboard,Beard Group,97.0,8
42,2022-09-08,30.0,Jared Parks,Egypt,1.0,laptop,"Stanley, Webster and Thompson",39.0,3
43,2022-09-08,28.0,Jacob Blair,Cuba,2.0,earphones,"Johnson, Lawson and Rodriguez",83.0,2
44,2022-09-12,28.0,Jacob Blair,Cuba,1.0,laptop,"Stanley, Webster and Thompson",39.0,1
45,2022-09-12,3.0,Lisa Murray,Rwanda,1.0,laptop,"Stanley, Webster and Thompson",39.0,5
46,2022-09-06,6.0,Stephen Conway,Saint Kitts and Nevis,2.0,earphones,"Johnson, Lawson and Rodriguez",83.0,10
47,2022-09-13,22.0,Shane Stephens,Kazakhstan,3.0,keyboard,Beard Group,97.0,1
48,2022-09-05,8.0,Kimberly Crawford,Slovakia (Slovak Republic),3.0,keyboard,Beard Group,97.0,1
49,2022-09-06,11.0,Sarah Fuentes,Congo,2.0,earphones,"Johnson, Lawson and Rodriguez",83.0,4
50,2022-09-06,21.0,Tiffany Hanna,Czech Republic,1.0,laptop,"Stanley, Webster and Thompson",39.0,10
51,2022-09-03,18.0,William Mcdonald,Mauritius,1.0,laptop,"Stanley, Webster and Thompson",39.0,4
52,2022-09-10,21.0,Tiffany Hanna,Czech Republic,3.0,keyboard,Beard Group,97.0,10
53,2022-09-10,17.0,Ashley Johnson,Wallis and Futuna,1.0,laptop,"Stanley, Webster and Thompson",39.0,4
54,2022-09-04,16.0,Kyle Hunter,Iceland,2.0,earphones,"Johnson, Lawson and Rodriguez",83.0,5
55,2022-09-04,10.0,Megan Ball,New Zealand,1.0,laptop,"Stanley, Webster and Thompson",39.0,8
56,2022-09-08,6.0,Stephen Conway,Saint Kitts and Nevis,1.0,laptop,"Stanley, Webster and Thompson",39.0,6
57,2022-09-07,8.0,Kimberly Crawford,Slovakia (Slovak Republic),3.0,keyboard,Beard Group,97.0,7
58,2022-09-01,20.0,Richard Johnson,Lao People's Democratic Republic,3.0,keyboard,Beard Group,97.0,1
59,2022-09-11,14.0,Ralph Williams,United States Minor Outlying Islands,2.0,earphones,"Johnson, Lawson and Rodriguez",83.0,10
60,2022-09-13,20.0,Richard Johnson,Lao People's Democratic Republic,2.0,earphones,"Johnson, Lawson and Rodriguez",83.0,4
61,2022-09-04,27.0,Rebecca Ibarra,Syrian Arab Republic,3.0,keyboard,Beard Group,97.0,3
62,2022-09-14,17.0,Ashley Johnson,Wallis and Futuna,1.0,laptop,"Stanley, Webster and Thompson",39.0,10
63,2022-09-02,9.0,Erika Nelson,Fiji,3.0,keyboard,Beard Group,97.0,5
64,2022-09-09,30.0,Jared Parks,Egypt,2.0,earphones,"Johnson, Lawson and Rodriguez",83.0,10
65,2022-09-06,1.0,Eric Hernandez,Cape Verde,1.0,laptop,"Stanley, Webster and Thompson",39.0,1
66,2022-09-14,4.0,Patricia Smith,Congo,3.0,keyboard,Beard Group,97.0,7
67,2022-09-02,4.0,Patricia Smith,Congo,1.0,laptop,"Stanley, Webster and Thompson",39.0,2
68,2022-09-13,2.0,Victor Herrera,Gambia,3.0,keyboard,Beard Group,97.0,9
69,2022-09-10,6.0,Stephen Conway,Saint Kitts and Nevis,1.0,laptop,"Stanley, Webster and Thompson",39.0,4
70,2022-09-04,23.0,Shelby Martinez,Jamaica,2.0,earphones,"Johnson, Lawson and Rodriguez",83.0,7
71,2022-09-12,23.0,Shelby Martinez,Jamaica,2.0,earphones,"Johnson, Lawson and Rodriguez",83.0,4
72,2022-09-05,28.0,Jacob Blair,Cuba,3.0,keyboard,Beard Group,97.0,1
73,2022-09-13,15.0,Danielle White MD,Bouvet Island (Bouvetoya),3.0,keyboard,Beard Group,97.0,8
74,2022-09-12,16.0,Kyle Hunter,Iceland,3.0,keyboard,Beard Group,97.0,3
75,2022-09-04,16.0,Kyle Hunter,Iceland,1.0,laptop,"Stanley, Webster and Thompson",39.0,6
76,2022-09-03,17.0,Ashley Johnson,Wallis and Futuna,3.0,keyboard,Beard Group,97.0,1
